Year,AFFM,MCEGW,THTC,FIREB,CSPS,GDP
1951-52,1.9,4.6,2.6,2.3,3,2.3
1952-53,3.1,-0.4,3.3,4.2,2.1,2.8
1953-54,7.5,6.2,3.7,1.4,3.1,6.1
1954-55,3,8.8,6.5,3.7,3.6,4.2
1955-56,-0.8,11.7,7.3,4,3.1,2.6
1956-57,5.4,9,7.3,1.6,3.8,5.7
1957-58,-4.1,-1.8,3.1,3.8,4.5,-1.2
1958-59,9.8,7.4,5,2.8,4.1,7.6
1959-60,-0.8,7,6.3,3.8,4.3,2.2
1960-61,7.1,10.8,8.6,2.1,4.9,7.1
1961-62,0.3,6.9,6.5,4.3,4.7,3.1
1962-63,-1.4,6.2,5.9,3.4,7.1,2.1
1963-64,2.4,10.7,7.1,3.1,6.6,5.1
1964-65,8.8,7.4,6.8,2.7,6.6,7.6
1965-66,-9.9,3.2,1.8,3,4,-3.7
1966-67,-1.2,3.7,2.6,1.8,4.6,1
1967-68,14.1,3.3,4.3,2.7,3.9,8.1
1968-69,0,5.1,4.5,4.9,4.5,2.6
1969-70,6.3,7.8,5.4,4.2,5.5,6.5
1970-71,6.3,1.6,4.9,4.2,5.5,5
1971-72,-1.7,2.5,2.3,5.2,4.5,1
1972-73,-4.4,3.4,2.2,3.9,3.3,-0.3
1973-74,6.9,0.5,4.2,2.4,2.6,4.6
1974-75,-1.2,1,6,-0.3,4.7,1.2
1975-76,12.8,6.5,9.1,6.9,3.5,9
1976-77,-5.2,9.3,4.5,7.9,2.8,1.2
1977-78,9.6,7.4,6.7,4.9,2.7,7.5
1978-79,2.3,7.3,8.2,7.1,4.3,5.5
1979-80,-11.9,-3.6,-0.8,1,7.3,-5.2
1980-81,12.8,4.5,5.6,1.9,5,7.2
1981-82,5.2,7.4,6.1,8.1,2.1,5.6
1982-83,0.6,0.2,5.5,9.5,7.7,2.9
1983-84,9.5,8.5,5.1,9.8,3.7,7.9
1984-85,1.6,4.4,4.8,7.5,6.9,4
1985-86,0.7,4.3,8,9.8,5.7,4.2
1986-87,0.6,4.9,6,10.5,7.5,4.3
1987-88,-1.1,5.8,5.1,7.3,7.2,3.5
1988-89,15.7,8.2,6,9.8,6,10.2
1989-90,1.8,8.4,7.4,12.4,7.9,6.1
1990-91,4.7,6.9,5.2,6.2,4.4,5.3
1991-92,-1.4,-0.1,2.3,10.8,2.6,1.4
1992-93,6,3.6,5.6,5.4,6,5.4
1993-94,3.1,6.1,6.9,11.2,4.5,5.7
1994-95,5.2,9.1,9.9,3.9,2.3,6.4
1995-96,0,12,13.4,8.1,7.3,7.3
1996-97,8.9,7.2,8.1,6.2,8.1,8
1997-98,-1.3,3.3,7.5,11.7,8.3,4.3
1998-99,5.9,4.3,7.7,7.8,9.7,6.7
1999-00,2.8,6.2,11.4,13,12,8
2000-01,0.3,6.5,6.4,3.5,4.6,4.1
2001-02,5.5,2.7,8.6,6.2,4,5.4
2002-03,-4.9,7.1,8.3,7.2,3.8,3.9
2003-04,8.2,7.9,11.2,5.3,5.3,8
2004-05,1.1,10,9.5,7.7,6.8,7.1
2005-06,4.6,10.7,12,12.6,7.1,9.5
2006-07,4.6,12.7,11.6,14,2.8,9.6
2007-08,5.5,10.3,10.9,12,6.9,9.3
2008-09,0.4,4.7,7.5,12,12.5,6.7
2009-10,1.5,9.5,10.4,9.7,11.7,8.6
2010-11,8.3,7.6,12.2,10,4.2,8.9
2011-12,4.4,8.5,4.3,11.3,4.9,6.7
2012-13,1.4,3.6,9.8,9.7,4.3,5.4
2013-14,4.8,4.2,6.5,11.2,3.8,6.1
2014-15,1.2,6.7,9.4,11,8.3,7.2
2015-16,2.1,9.5,10.2,10.7,6.1,8
2016-17 (2nd RE),6.8,7.5,7.7,8.7,9.2,7.9
2017-18 (1st RE),5,6,7.8,6.2,11.9,6.9
2018-19 (PE),2.7,7.5,6.9,7.4,8.6,6.6
2019-20 (1st AE),2.6,2.6,5.9,6.4,9.1,4.9
